Gene_Probe,HL60_S4_C13,RG16_2_3,RG16_3_1,RG16_set2_C13,RG16_set3_C11,RG17_2_5,RG17_2_7,RG17_3_3,RG17_3_6,RG17_set2_C15,RG17_set2_C17,RG17_set3_C13,RG17_set3_C16,RG19_2_2,RG19_2_6,RG19_3_1,RG19_set2_C12,RG19_set2_C16,RG19_set3_C11,RG20_2_3,RG20_2_6,RG26_set2_C115,RG34_2_9,RG34_3_8,RG34_set3_C18,HL60_S4_C13B,RG14_3_1B,RG14_set3_C11B,RG16_2_3B,RG16_3_1B,RG16_set2_C13B,RG16_set3_C11B,RG17_set2_C15B,RG17_set2_C17B,RG17_set3_C13B,RG17_set3_C16B,RG19_set2_C12B,RG19_set2_C16B,RG19_set3_C11B,RG20_set2_C16B,RG26_set2_C115B,RG34_set3_C18B
CD14,-0.514843879,-0.617694872,-0.655384325,-0.433415496,-1.270468789,-0.741637261,-0.618717295,-0.75938983,-0.86720011,-0.577559811,-0.531804769,-0.592372178,-0.615860647,-0.455966402,-0.701943953,0.009351915,-0.508811655,-1.197687577,-0.561143419,-0.838589712,-0.484826651,-0.457021447,-0.497765656,-0.745729267,-0.722486517,-0.250558767,-0.773964381,-0.479078569,-1.017713605,-0.56758569,-0.44565982,-0.720812366,-1.442948001,-0.5605401,-0.724406487,-0.601448917,-0.700752925,-0.757047694,-0.610332068,-0.711379321,-0.528300052,-0.782907469
HERC5,0.580806877,0.25187104,0.397048207,0.206316067,0.131941681,0.354939045,0.368113388,0.35939725,0.404240752,0.26167658,0.527519907,0.297137715,0.357776041,0.307425976,0.226701274,0.439228145,0.24251136,0.311884733,0.364009417,0.386642781,0.267288119,0.23636841,0.5882561,0.380462612,0.543405402,0.412260267,0.388390382,0.343134629,0.072551348,0.3200772,0.226148454,0.325471333,0.197482738,0.315202941,0.15918777,0.380742136,0.39503283,0.378383332,0.379120504,0.418671961,0.26567269,0.438265387
CISD1_1,-1.263769675,-1.496359086,-1.435038725,-1.527396372,-1.444079831,-1.398817817,-1.350472439,-1.295496625,-1.316711733,-1.532767861,-1.386907611,-1.452748368,-1.386685142,-1.581771817,-1.369145321,-1.452891989,-1.562986085,-1.368164633,-1.579647889,-1.44901818,-1.676125273,-1.465547885,-1.222075057,-1.410712939,-1.266374456,-1.176106362,-1.434739067,-1.542632909,-1.608345067,-1.470326814,-1.545101155,-1.396924287,-1.335979038,-1.30319795,-1.444142374,-1.605316966,-1.558105519,-1.452700414,-1.67942275,-1.44854451,-1.47902218,-1.253073775
GAPDH,1.157019461,1.150500301,1.27404292,1.109994201,1.008435916,1.038760384,0.964357911,1.098996669,1.207544806,0.823138039,1.25055987,1.22276036,1.18655749,1.267921582,0.872758001,1.045923878,1.36813037,1.281009193,1.14564196,1.209793462,1.328017035,1.223476104,0.619315348,1.161460016,0.957269497,0.948265365,1.117248345,1.008858273,1.085786418,1.216660796,1.22059916,1.029652301,0.976535929,1.07279256,0.987685561,1.224248622,1.259344333,1.064332712,1.000573696,1.007284301,1.197175463,1.001305614
MYC,1.45331216,1.380443558,1.407777268,1.32257684,1.281103994,1.336826373,1.354213456,1.335757585,1.436668186,1.242473258,1.479188677,1.456378971,1.450021636,1.395093132,1.222822412,1.472517796,1.522014871,1.596327837,1.422942686,1.40277778,1.378904986,1.282457309,1.589163303,1.469652397,1.504769779,1.219275858,1.362852894,1.341894044,1.325606144,1.293550353,1.422538101,1.292629058,1.320355284,1.317949954,1.269070756,1.36784635,1.446410258,1.299684467,1.39151341,1.371909284,1.357578757,1.380535546
CD3D,0.13613683,0.221482629,0.2201736,0.169951145,0.415048993,0.421259017,0.163313535,0.453791489,0.145394376,0.485881324,-0.12138048,0.417998709,0.198455913,0.283568972,0.597867129,0.107097694,0.230837333,0.428803019,-0.007724816,0.306673372,0.395524042,0.488115113,0.512282286,0.347328468,0.496341921,0.332802089,0.402882229,0.400465327,0.136194454,0.333281795,0.05840004,0.385157652,0.378647211,0.051076608,0.589066318,0.278875006,0.295890312,0.547816878,0.060534542,0.417240922,0.44526816,0.574765757
TFRC,1.005314833,0.33232546,0.42350584,0.477989052,0.416067784,0.759983645,0.675531441,0.741183672,0.891815949,0.499226866,0.682024886,0.456665875,0.594108204,0.331702559,0.631084293,0.119480182,0.573960452,0.341265395,0.594428255,0.720732445,0.332655747,0.434631125,0.59439511,0.406821952,0.576024248,0.784233065,0.655430332,0.548131721,0.446617862,0.342539988,0.511910348,0.510527199,0.516605114,0.513097152,0.280407045,0.528054719,0.53517323,0.343867596,0.557131771,0.475980367,0.495579449,0.484107517
TNS1,-1.636817081,-1.354516459,-1.303852733,-1.189510554,-1.093589971,-1.459902473,-1.361204895,-1.396696924,-1.532489722,-1.194472406,-0.948504426,-1.412091334,-1.737386382,-1.075533004,-1.372102587,-0.59864526,-1.230484242,-1.0061904,-1.645618668,-1.554191277,-1.205331505,-0.955481997,-1.19167452,-1.423727662,-1.527531208,-1.688519647,-1.480239721,-1.531459186,-2.090507066,-1.20709651,-1.427970828,-1.488399097,-1.300712233,-1.345051206,-1.267093497,-1.387978265,-1.147314328,-1.20280579,-1.582760104,-1.472032859,-1.811320024,-1.502766178
GAPDH_1,1.393641549,1.492281315,1.457083353,1.450171225,1.490251923,1.437800292,1.412022931,1.453104091,1.498189202,1.423928038,1.464718225,1.432088417,1.447083354,1.464281608,1.430478975,1.221791009,1.476450953,1.487514006,1.43394481,1.511764664,1.524612347,1.481599757,1.332744457,1.460106092,1.235402391,1.352362848,1.460242279,1.449233864,1.404042711,1.495240389,1.522815544,1.46483186,1.481979376,1.444343853,1.489398304,1.50609612,1.490691659,1.41822797,1.432086992,1.439225556,1.504982879,1.297353573
MKI67,1.003005054,1.223881272,1.110113073,1.218380911,1.14276386,1.082812929,1.117589167,1.075911065,1.088294328,1.084162627,1.081194416,1.206001322,1.190659358,1.179719129,1.073720601,1.168558644,1.239363667,1.292728784,1.135039908,1.102146357,1.193768004,1.141000886,1.211484342,1.138161862,1.138838926,1.009505453,1.098275435,1.100014067,1.277409372,1.129675245,1.233985978,1.063266642,1.147974159,1.1440197,1.219101346,1.146170288,1.171153638,1.109497109,1.115618407,1.119054212,1.151888578,1.144928777
